ticker,name,sector,price,traditional_score,reputation_score,composite_score,momentum_1m,momentum_3m,sharpe_ratio,volatility,volume_avg,date,rank
COMM,COMM,Unknown,15.96,2.68,1.0,29.959,96.55,154.14,2.68,15.92,11886300.0,2025-08-28 22:48:20,1
NIO,NIO,Unknown,6.51,3.57,0.3,20.096,44.35,76.9,3.57,5.57,83557830.0,2025-08-28 22:47:20,2
NVDA,NVDA,Unknown,180.17,4.16,0.767,15.281,0.5,29.45,4.16,1.51,168254445.0,2025-08-28 22:46:00,3
INTC,INTC,Unknown,24.93,1.84,0.45,15.159,22.57,23.11,1.84,3.64,138819245.0,2025-08-28 22:46:42,4
SOXL,SOXL,Unknown,28.53,3.41,0.5,13.75,3.33,66.4,3.41,4.01,87781940.0,2025-08-28 22:48:13,5
MDB,MDB,Unknown,318.1,2.67,0.65,11.837,30.18,67.99,2.67,7.74,3973665.0,2025-08-28 22:47:13,6
HOOD,HOOD,Unknown,103.69,3.8,0.633,9.514,-2.27,62.14,3.8,3.21,40058830.0,2025-08-28 22:47:16,7
WDC,WDC,Unknown,82.04,5.96,0.8,9.307,14.85,56.41,5.96,2.42,6060190.0,2025-08-28 22:48:22,8
PLTR,PLTR,Unknown,158.12,2.26,0.767,9.262,-0.31,29.27,2.26,3.02,85110650.0,2025-08-28 22:47:06,9
AMD,AMD,Unknown,168.58,3.74,0.533,9.245,-6.09,49.15,3.74,2.82,63409475.0,2025-08-28 22:46:58,10
LSCC,LSCC,Unknown,66.66,3.32,0.533,8.969,26.15,44.88,3.32,3.61,3131480.0,2025-08-28 22:48:30,11
ANET,ANET,Unknown,136.23,3.8,1.0,8.92,11.58,57.73,3.8,3.67,9257795.0,2025-08-28 22:48:21,12
TQQQ,TQQQ,Unknown,92.7,3.34,0.5,8.344,3.36,32.1,3.34,2.4,58562280.0,2025-08-28 22:48:14,13
STX,STX,Unknown,172.38,5.08,0.6,8.242,16.93,46.69,5.08,2.22,2618855.0,2025-08-28 22:48:23,14
TME,TME,Unknown,24.9,3.9,0.633,8.079,18.01,42.37,3.9,2.78,7277765.0,2025-08-28 22:47:29,15
AAPL,AAPL,Unknown,232.56,2.96,0.533,7.85,11.37,16.44,2.96,1.6,58931550.0,2025-08-28 22:45:57,16
LNC,LNC,Unknown,42.77,3.26,0.7,7.311,25.06,30.22,3.26,2.65,1867735.0,2025-08-28 22:49:09,17
APA,APA,Unknown,22.98,2.94,0.533,7.072,17.97,34.33,2.94,2.34,7416345.0,2025-08-28 22:47:45,18
TER,TER,Unknown,117.89,3.17,0.767,6.859,9.51,45.58,3.17,4.01,3577745.0,2025-08-28 22:48:32,19
IVZ,IVZ,Unknown,22.06,4.37,0.4,6.859,3.71,51.03,4.37,3.23,4443055.0,2025-08-28 22:49:12,20
SPY,SPY,Unknown,648.92,4.18,0.5,6.807,2.28,10.3,4.18,0.64,67473230.0,2025-08-28 22:48:00,21
RBLX,RBLX,Unknown,126.88,3.47,0.3,6.633,1.55,49.64,3.47,3.9,9672380.0,2025-08-28 22:47:15,22
SHOP,SHOP,Unknown,141.54,2.14,0.767,6.42,15.06,31.42,2.14,4.57,9089325.0,2025-08-28 22:46:59,23
GOOGL,GOOGL,Unknown,211.64,3.84,0.7,6.213,7.69,23.3,3.84,1.32,28891065.0,2025-08-28 22:45:59,24
TSLA,TSLA,Unknown,345.98,0.03,0.633,6.111,8.44,-3.47,0.03,2.66,76094185.0,2025-08-28 22:46:01,25
JEF,JEF,Unknown,65.49,4.14,0.567,6.055,12.52,33.43,4.14,1.84,1450420.0,2025-08-28 22:49:15,26
ORCL,ORCL,Unknown,240.32,3.86,0.533,5.815,-4.1,47.84,3.86,1.92,10089145.0,2025-08-28 22:46:40,27
RF,RF,Unknown,27.33,4.21,0.8,5.707,6.34,28.2,4.21,1.72,15409665.0,2025-08-28 22:48:47,28
KEY,KEY,Unknown,19.35,3.53,0.3,5.623,6.55,21.32,3.53,1.47,27058315.0,2025-08-28 22:48:45,29
UPST,UPST,Unknown,73.76,2.9,0.65,5.549,-11.48,57.98,2.9,5.05,7968535.0,2025-08-28 22:47:18,30
IWM,IWM,Unknown,236.22,3.11,0.5,5.409,6.62,14.92,3.11,1.3,34003005.0,2025-08-28 22:48:02,31
MU,MU,Unknown,122.0,2.56,0.7,5.383,6.33,26.15,2.56,2.67,18093695.0,2025-08-28 22:46:39,32
BAC,BAC,Unknown,50.49,2.97,0.6,5.284,5.28,14.8,2.97,1.29,34793950.0,2025-08-28 22:46:52,33
QQQ,QQQ,Unknown,577.08,3.64,0.5,5.228,1.6,11.12,3.64,0.8,45438130.0,2025-08-28 22:48:01,34
ROKU,ROKU,Unknown,97.54,2.56,0.65,5.175,6.02,33.98,2.56,3.85,4351280.0,2025-08-28 22:47:01,35
C,C,Unknown,96.82,4.65,0.6,5.115,1.72,29.03,4.65,1.4,13725065.0,2025-08-28 22:46:50,36
AVGO,AVGO,Unknown,308.65,3.37,0.633,5.059,1.99,27.86,3.37,1.86,17619805.0,2025-08-28 22:46:16,37
AMG,AMG,Unknown,227.42,4.83,0.7,5.017,8.03,28.28,4.83,1.4,168270.0,2025-08-28 22:49:14,38
PDD,PDD,Unknown,122.22,3.26,0.767,4.997,8.24,24.35,3.26,1.97,8913365.0,2025-08-28 22:47:25,39
XPEV,XPEV,Unknown,21.91,0.91,0.45,4.917,21.52,9.0,0.91,3.78,10664380.0,2025-08-28 22:47:21,40
HBAN,HBAN,Unknown,17.8,2.5,0.8,4.838,7.36,14.36,2.5,1.44,25502360.0,2025-08-28 22:48:46,41
NET,NET,Unknown,213.42,3.05,0.65,4.797,6.26,30.01,3.05,2.4,2574540.0,2025-08-28 22:47:12,42
