ticker,debt_to_equity,current_ratio,quick_ratio,roe,roa,market_cap,enterprise_value,price_to_book,price_to_sales,revenue_growth,earnings_growth,profit_margins,dividend_yield,payout_ratio,financial_health_score,market_position_score,growth_stability_score,date
AAPL,154.49,0.87,0.72,1.4981,0.2455,3451283308544,3497607036928,52.48,0,0.096,0.121,0.243,0.45,0.1533,0.533,0.65,0.7,2025-08-28 22:45:57
MSFT,32.66,1.35,1.22,0.3328,0.142,3788240846848,3805857972224,11.03,0,0.181,0.237,0.3615,0.65,0.2375,0.633,0.65,0.767,2025-08-28 22:45:58
GOOGL,11.48,1.9,1.72,0.3483,0.1679,2513225121792,2506094280704,7.06,0,0.138,0.223,0.3112,0.4,0.0864,0.7,0.65,0.767,2025-08-28 22:45:59
AMZN,47.81,1.02,0.77,0.2477,0.077,2469990760448,2536383709184,7.4,0,0.133,0.333,0.1054,0.0,0.0,0.633,0.65,0.8,2025-08-28 22:45:59
NVDA,12.27,3.39,2.86,1.1546,0.5324,4393913810944,4387633889280,55.59,0,0.692,0.267,0.5169,0.02,0.0129,0.767,0.65,0.933,2025-08-28 22:46:00
TSLA,16.82,2.04,1.36,0.0818,0.0291,1115941240832,1093050826752,14.43,0,-0.118,-0.175,0.0634,0.0,0.0,0.633,0.65,0.6,2025-08-28 22:46:01
META,25.41,1.97,1.71,0.4065,0.1847,1886893506560,1889383612416,9.69,0,0.216,0.384,0.3999,0.28,0.0744,0.7,0.65,0.833,2025-08-28 22:46:02
BRK-B,18.95,3.0,2.8,0.0991,0.0468,1078202925056,-214065086464,0.0,0,-0.012,-0.593,0.17,0.0,0.0,0.633,1.0,0.8,2025-08-28 22:46:02
UNH,75.58,0.85,0.77,0.2165,0.0646,273776197632,331009064960,2.89,0,0.129,-0.176,0.0504,2.92,0.3684,0.533,0.8,0.633,2025-08-28 22:46:03
JNJ,64.69,1.01,0.68,0.3021,0.0761,422543228928,454424068096,5.38,0,0.058,0.187,0.25,2.96,0.5375,0.633,0.65,0.7,2025-08-28 22:46:04
JPM,0.0,0.0,0.0,0.1621,0.013,827867267072,475865382912,2.46,0,-0.106,-0.144,0.3452,1.86,0.2718,1.0,0.8,0.75,2025-08-28 22:46:05
V,65.02,1.11,0.78,0.5175,0.1705,679057227776,680932147200,17.87,0,0.143,0.121,0.5216,0.67,0.2236,0.633,0.65,0.767,2025-08-28 22:46:06
PG,69.86,0.7,0.44,0.3124,0.1091,364589875200,392609136640,7.11,0,0.017,0.165,0.1895,2.72,0.6262,0.533,0.65,0.567,2025-08-28 22:46:06
HD,580.59,1.15,0.28,1.9395,0.1371,405570453504,870256607232,38.01,0,0.049,-0.004,0.0886,2.26,0.6186,0.633,0.65,0.5,2025-08-28 22:46:07
MA,240.92,1.16,0.71,1.7695,0.2368,533801009152,543424905216,68.12,0,0.168,0.163,0.4493,0.51,0.1915,0.633,0.65,0.767,2025-08-28 22:46:08
DIS,37.15,0.72,0.57,0.1146,0.0452,211508477952,253015932928,1.94,0,0.021,1.042,0.1222,0.85,0.2273,0.467,0.9,0.567,2025-08-28 22:46:09
PYPL,60.25,1.33,0.25,0.2292,0.0461,66933780480,69097807872,3.33,0,0.051,0.194,0.1449,0.0,0.0,0.633,0.7,0.7,2025-08-28 22:46:10
ADBE,57.49,0.99,0.82,0.5225,0.1785,150149824512,151017832448,13.2,0,0.106,0.129,0.3039,0.0,0.0,0.533,0.65,0.9,2025-08-28 22:46:10
CRM,19.81,1.07,0.9,0.1031,0.0509,243330678784,237942685696,4.02,0,0.076,0.019,0.1608,0.65,0.2529,0.567,0.8,0.633,2025-08-28 22:46:11
NFLX,67.87,1.34,1.11,0.4355,0.1505,523275108352,531819003904,20.97,0,0.159,0.473,0.2458,0.0,0.0,0.633,0.65,0.9,2025-08-28 22:46:12
ABT,26.5,1.82,1.14,0.3093,0.0662,228644225024,235096096768,4.52,0,0.074,0.365,0.3243,1.8,0.2861,0.7,0.8,0.7,2025-08-28 22:46:13
PFE,69.7,1.16,0.78,0.1217,0.0525,139864539136,188976545792,1.58,0,0.103,69.74,0.1684,6.99,0.8995,0.567,0.9,0.7,2025-08-28 22:46:13
KO,166.37,1.21,0.84,0.4237,0.0894,294198870016,331711709184,10.29,0,0.014,0.573,0.2589,2.98,0.7057,0.633,0.65,0.633,2025-08-28 22:46:14
PEP,276.87,0.78,0.56,0.3986,0.0851,201227386880,244778975232,10.93,0,0.01,-0.587,0.0823,3.87,0.9995,0.533,0.65,0.5,2025-08-28 22:46:15
AVGO,166.03,1.08,0.89,0.1898,0.0801,1451725946880,156234153984,5.21,0,0.164,1.881,0.2264,0.76,0.8157,0.633,0.65,0.767,2025-08-28 22:46:16
TMO,69.62,1.93,1.29,0.1342,0.0497,184931696640,213861761024,3.66,0,0.03,0.059,0.1524,0.35,0.0949,0.633,0.8,0.567,2025-08-28 22:46:16
