ticker,momentum_1m,momentum_3m,momentum_6m,volatility_30d,volatility_60d,volume_avg_20d,volume_avg_60d,price_change_1d,price_change_5d,sharpe_ratio,beta,current_price,date
AAPL,11.37,16.44,-3.6,1.6,1.38,58931550.0,54619517.0,0.9,3.41,2.96,1.0,232.56,2025-08-28 22:45:57
MSFT,-0.54,11.29,28.82,1.16,0.97,21695855.0,19994730.0,0.57,1.07,2.91,1.0,509.64,2025-08-28 22:45:57
GOOGL,7.69,23.3,24.58,1.32,1.4,28891065.0,36693682.0,2.01,5.95,3.84,1.0,211.64,2025-08-28 22:45:58
AMZN,0.61,12.59,9.1,2.08,1.74,42571785.0,41931460.0,1.08,4.35,1.89,1.0,231.6,2025-08-28 22:45:59
NVDA,0.5,29.45,44.25,1.51,1.56,168254445.0,172665803.0,-0.79,2.97,4.16,1.0,180.17,2025-08-28 22:46:00
TSLA,8.44,-3.47,18.09,2.66,3.57,76094185.0,98780933.0,-1.04,8.08,0.03,1.0,345.98,2025-08-28 22:46:00
META,8.04,16.53,12.59,2.58,2.09,10772565.0,11932667.0,0.5,1.62,2.01,1.0,751.11,2025-08-28 22:46:01
BRK-B,5.01,-1.25,-2.72,0.96,0.9,4993975.0,4693408.0,0.84,2.31,-0.29,1.0,499.86,2025-08-28 22:46:02
UNH,13.63,2.1,-35.63,3.57,2.86,20284735.0,16242387.0,-0.52,-0.35,0.4,1.0,302.29,2025-08-28 22:46:03
JNJ,5.67,15.08,8.02,0.89,1.16,8399670.0,8328995.0,-0.76,-1.23,3.18,1.0,175.45,2025-08-28 22:46:04
JPM,0.48,14.43,15.01,0.99,1.07,7101540.0,8366263.0,0.6,3.29,3.32,1.0,301.07,2025-08-28 22:46:04
V,-0.12,-3.29,-3.21,0.98,1.35,6105975.0,6609363.0,-0.14,1.8,-0.53,1.0,349.86,2025-08-28 22:46:05
PG,1.81,-7.03,-9.29,0.96,0.95,6701715.0,7988697.0,-0.83,-1.94,-1.86,1.0,155.65,2025-08-28 22:46:06
HD,9.51,11.32,4.03,1.44,1.32,3613070.0,3553528.0,-0.19,2.45,2.18,1.0,407.45,2025-08-28 22:46:07
MA,5.61,2.34,2.76,0.88,1.35,2572765.0,2847585.0,-0.03,-0.24,0.54,1.0,590.48,2025-08-28 22:46:08
DIS,-1.59,5.46,3.82,1.22,1.15,8595620.0,8479812.0,-0.38,1.23,1.27,1.0,117.64,2025-08-28 22:46:08
PYPL,0.5,-1.23,-1.39,2.23,2.16,9737905.0,10604923.0,0.59,3.72,0.02,1.0,70.06,2025-08-28 22:46:09
ADBE,-2.76,-14.37,-19.29,1.6,1.67,3665965.0,3884565.0,-0.67,0.15,-2.17,1.0,353.96,2025-08-28 22:46:10
CRM,-3.88,-4.49,-14.27,1.71,1.58,8242250.0,7504573.0,1.75,3.54,-0.62,1.0,254.53,2025-08-28 22:46:11
NFLX,3.99,3.93,25.59,1.73,1.58,2730605.0,3193607.0,0.65,2.09,0.75,1.0,1231.45,2025-08-28 22:46:11
ABT,2.19,-0.67,-3.94,1.08,1.55,5397455.0,6385963.0,-0.07,-0.48,0.01,1.0,131.37,2025-08-28 22:46:12
PFE,3.32,6.71,-3.51,1.77,1.52,43706915.0,40664320.0,-1.87,-4.43,1.22,1.0,24.6,2025-08-28 22:46:13
KO,-0.57,-3.7,-2.61,0.93,0.88,12835985.0,15165465.0,-0.68,-3.26,-1.01,1.0,68.36,2025-08-28 22:46:14
PEP,2.88,12.64,-2.32,1.35,1.56,7700670.0,9633717.0,-0.45,-1.34,2.08,1.0,146.98,2025-08-28 22:46:14
AVGO,1.99,27.86,55.6,1.86,1.91,17619805.0,20349350.0,2.8,6.58,3.37,1.0,308.65,2025-08-28 22:46:15
TMO,2.61,21.42,-7.24,2.55,2.16,1910660.0,2652165.0,0.33,1.24,2.47,1.0,489.74,2025-08-28 22:46:16
COST,2.02,-6.19,-9.64,1.05,1.08,2307490.0,2154658.0,-0.48,-2.55,-1.31,1.0,944.96,2025-08-28 22:46:17
ABBV,9.83,12.98,1.26,1.16,1.21,4610005.0,5516295.0,-0.07,-0.75,2.7,1.0,207.92,2025-08-28 22:46:17
WMT,-1.29,-0.79,-1.8,1.36,1.19,19113640.0,16381053.0,0.03,-1.89,-0.07,1.0,96.11,2025-08-28 22:46:18
ACN,-6.51,-18.97,-25.76,1.77,1.82,4719470.0,3990143.0,-0.37,0.86,-2.84,1.0,256.17,2025-08-28 22:46:19
DHR,0.64,7.95,-0.88,1.92,1.69,3319190.0,3906678.0,0.14,0.68,1.29,1.0,205.29,2025-08-28 22:46:20
NEE,2.33,6.15,4.37,1.71,1.66,9219385.0,10391472.0,-1.68,-4.51,1.04,1.0,72.09,2025-08-28 22:46:21
LLY,-3.49,1.52,-20.16,3.48,2.72,6894040.0,4468868.0,-0.3,3.12,0.36,1.0,731.96,2025-08-28 22:46:22
TXN,8.47,11.12,5.78,2.92,2.26,5701160.0,6427542.0,-0.67,1.68,1.38,1.0,204.09,2025-08-28 22:46:23
HON,0.15,-1.19,5.05,1.45,1.22,3115220.0,3290815.0,0.05,1.81,-0.16,1.0,221.35,2025-08-28 22:46:23
UNP,-1.3,0.53,-9.32,1.47,1.22,4072290.0,4045305.0,0.63,-1.31,0.21,1.0,222.35,2025-08-28 22:46:24
LOW,13.24,15.11,4.68,1.57,1.52,3220310.0,2800512.0,-0.44,0.74,2.49,1.0,257.54,2025-08-28 22:46:25
SPGI,3.62,6.69,2.96,1.18,1.03,1184195.0,1129235.0,-0.42,-0.71,1.69,1.0,547.55,2025-08-28 22:46:26
