Ticker,Name
TSLA,Tesla Inc
AAPL,Apple Inc
MSFT,Microsoft Corporation
GOOGL,Alphabet Inc
AMZN,Amazon.com Inc
NVDA,NVIDIA Corporation
META,Meta Platforms Inc
NFLX,Netflix Inc
AMD,Advanced Micro Devices Inc
CRM,Salesforce Inc
ADBE,Adobe Inc
PYPL,PayPal Holdings Inc
UBER,Uber Technologies Inc
SPOT,Spotify Technology SA
SQ,Block Inc
ZM,Zoom Video Communications Inc
SHOP,Shopify Inc
ROKU,Roku Inc
SNAP,Snap Inc
TWTR,Tesla Inc
PLTR,Palantir Technologies Inc
COIN,Coinbase Global Inc
RBLX,Roblox Corporation
HOOD,Robinhood Markets Inc
LCID,Lucid Group Inc
RIVN,Rivian Automotive Inc
NIO,NIO Inc
XPEV,Xpeng Inc
LI,Li Auto Inc
BYDDF,BYD Company Limited
CHPT,ChargePoint Holdings Inc
BLNK,Blink Charging Co
WKHS,Workhorse Group Inc
NKLA,Nikola Corporation
HYLN,Hyliion Holdings Corp
QS,QuantumScape Corporation
RIDE,Lordstown Motors Corp
CANOO,Canoo Inc
ARVL,Arrival Group
EVGO,EVgo Inc
VLTA,Volta Inc
CHPT,ChargePoint Holdings Inc
